"","ï..Prevalence.Estimate.Name","Rapid.Review..Study","URL","Source.Type","Country","State.Province","County","City","Sampling.Start.Date","Sampling.End.Date","Sample.Frame..groups.of.interest.","Sampling.Method","Denominator.Value","Serum.positive.prevalence","Serum.pos.prevalence..95pct.CI.Lower","Serum.pos.prevalence..95pct.CI.Upper","JBI.9","Overall.Risk.of.Bias..JBI.","Response.Rate..","RR.obtained.from.email.correspondence","Email","Notes","X","url1","start_date","region","IR_lower","IR_upper","RR","prob_sampling","sample_size","reported"
"421","200717_Ilm-Kreis_JenaUniversityHospital_Overall","200717_Ilm-Kreis_JenaUniversityHospital","https://www.medrxiv.org/content/10.1101/2020.07.15.20154112v1","Preprint","Germany","Thuringia"," Ilm-Kreis","","12-May-20","22-May-20","Household and community samples","Entire sample","620","8.39%","","","Yes","Moderate","71.0%","","","","","https://www.medrxiv.org/content/10.1101/2020.07.15.20154112v1",2020-05-12,"Europe",NA,NA,71,FALSE,620,TRUE
"423","200616_Brazil_SecretariadeEstadodaSauÌ<81>dedoEspiÌ<81>ritoSanto_GenPopUrban","200616_Brazil_SecretariadeEstadodaSauÌ<81>dedoEspiÌ<81>ritoSanto_1_Urban","https://www.medrxiv.org/content/10.1101/2020.06.13.20130559v1.full.pdf","Preprint","Brazil","EspiÌ<81>rito Santo","","","13-May-20","15-May-20","Household and community samples","Stratified probability","4612","2.10%","1.67%","2.52%","Unclear","Moderate","","Emailed","cristcher@gmail.com","","","https://www.medrxiv.org/content/10.1101/2020.06.13.20130559v1.full.pdf",2020-05-13,"Other",1.67,2.52,NA,TRUE,4612,FALSE
"428","201111_NeustadtAmRennsteig_FriedrichSchillerUniversity_Overall","201111_NeustadtAmRennsteig_FriedrichSchillerUniversity","https://dx.doi.org/10.1016/j.cmi.2020.11.009","Journal article","Germany","Thuringia","","","13-May-20","16-May-20","Household and community samples","Self-referral","620","8.40%","","","Yes","Moderate","70.20%","","","","","https://dx.doi.org/10.1016/j.cmi.2020.11.009",2020-05-13,"Europe",NA,NA,70.2,FALSE,620,TRUE
"433","201026_Brazil_UniversidadeFederaldePelotas_General","201026_Brazil_UniversidadeFederaldePelotas","https://dx.doi.org/10.26633/RPSP.2020.135","Journal article","Brazil","","","","14-May-20","24-Jun-20","Household and community samples","Stratified probability","89362","2.31%","","","No","Moderate","54%","","","3 waves-54.4%, 52.6%, 55.6%","","https://dx.doi.org/10.26633/RPSP.2020.135",2020-05-14,"Other",NA,NA,54,TRUE,89362,TRUE
"441","200922_Wuhan_WuhanUniversity_IgM/IgG","200922_Wuhan_WuhanUniversity","https://dx.doi.org/10.1016/j.cmi.2020.09.044","Journal article","China","Hubei","Wuchang District","Wuhan","15-May-20","26-May-20","Household and community samples","Stratified probability","61437","2.39%","2.27%","2.52%","Unclear","Low","","Emailed","chzs1990@163.com <chzs1990@163.com>; yuanyf1971@whu.edu.cn <yuanyf1971@whu.edu.cn>; liyirong838@163.com <liyirong838@163.com>;","","","https://dx.doi.org/10.1016/j.cmi.2020.09.044",2020-05-15,"Other",2.27,2.52,NA,TRUE,61437,FALSE
"454","210125_Canada_UniversityofToronto_Phase1_Overall_Popdj_sp","210125_Canada_UniversityofToronto_Phase1","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3752659","Preprint","Canada","Ontario, British Columbia, Yukon, Quebec, Alberta, Saskatchewan, Manitoba, Northwest Territories, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island","","","15-May-20","15-Jun-20","Household and community samples","Stratified non-probability","7068","1.70%","","","Yes","Moderate","73%","","","","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3752659",2020-05-15,"Other",NA,NA,73,FALSE,7068,TRUE
"458","200919_Castiglioned'Adda_UniversityofMilan_Overall","200919_Castiglionedâ€™Adda_UniversityofMilan","https://dx.doi.org/10.1016/j.jinf.2020.09.021","Journal article","Italy","Lombardy","","Castiglione Dâ€™Adda","18-May-20","07-Jun-20","Household and community samples","Stratified probability","509","22.60%","17.20%","29.10%","Unclear","Moderate","90.60%","Emailed","gabriele.pagani@unimi.it <gabriele.pagani@unimi.it>;","","","https://dx.doi.org/10.1016/j.jinf.2020.09.021",2020-05-18,"Europe",17.2,29.1,90.6,TRUE,509,FALSE
"459","200828_CastiglioneD'Adda_UniversitadegliStudidiMilano_overall","200828_CastiglioneD'Adda_UniversitadegliStudidiMilano","https://www.medrxiv.org/content/10.1101/2020.06.24.20138875v1.full.pdf","Preprint","Italy","Lombardy","Lodi","Castiglione Dâ€™Adda","18-May-20","07-Jun-20","Household and community samples","Stratified probability","509","22.60%","17.20%","29.10%","Unclear","Moderate","90.60%","Emailed","gabriele.pagani@unimi.it","","","https://www.medrxiv.org/content/10.1101/2020.06.24.20138875v1.full.pdf",2020-05-18,"Europe",17.2,29.1,90.6,TRUE,509,FALSE
"461","200918_Tbilisi_InfectiousDiseaseResearchCenter_Total_PopTestAdj","200918_Tbilisi_InfectiousDiseaseResearchCenter","https://www.medrxiv.org/content/10.1101/2020.09.18.20195024v1","Preprint","Georgia","Tbilisi","","Tbilisi","18-May-20","27-May-20","Household and community samples","Convenience","1086","1.02%","0.38%","2.18%","Unclear","Low","","Emailed","nc@aidscenter.ge <nc@aidscenter.ge>;","","","https://www.medrxiv.org/content/10.1101/2020.09.18.20195024v1",2020-05-18,"Europe",0.38,2.18,NA,FALSE,1086,FALSE
"473","201126_Kupferzell_RobertKochInstitute_OverallAdj","201126_Kupferzell_RobertKochInstitute","https://dx.doi.org/10.2807/1560-7917.ES.2020.25.47.2001752","Journal article","Germany","Baden-Wurttemberg","Stuttgart","Kupferzell","20-May-20","09-Jun-20","Household and community samples","Simplified probability","2203","12.00%","10.40%","14.00%","Yes","Low","62.40%","","","","","https://dx.doi.org/10.2807/1560-7917.ES.2020.25.47.2001752",2020-05-20,"Europe",10.4,14,62.4,TRUE,2203,TRUE
"476","201212_Bavaria_UniversityofRegensburg_overall","201212_Bavaria_UniversityofRegensburg","https://www.authorea.com/users/382535/articles/498454-coronavirus-antibody-screening-identifies-children-with-mild-to-moderate-courses-of-pmis","Preprint","Germany","Bavaria","","","22-May-20","22-Jul-20","Household and community samples","Convenience","2832","5.70%","","","Yes","Moderate","96.50%","","","Overall, 2934 children participated in the study of whom 2906 were tested successfully with at least one of the two applied antibody tests and 2832","","https://www.authorea.com/users/382535/articles/498454-coronavirus-antibody-screening-identifies-children-with-mild-to-moderate-courses-of-pmis",2020-05-22,"Europe",NA,NA,96.5,FALSE,2832,TRUE
"479","201101_ Borgosesia_ASLVercelli_overall","201101_ Borgosesia_ASLVercelli","https://dx.doi.org/10.19191/EP20.5-6.S2.119","Journal article","Italy","Piedmont","","Borgosesia","23-May-20","24-May-20","Household and community samples","Self-referral","4987","4.90%","4.33%","5.55%","No","High","44.50%","","","","","https://dx.doi.org/10.19191/EP20.5-6.S2.119",2020-05-23,"Europe",4.33,5.55,44.5,FALSE,4987,TRUE
"490","200727_Atahualpa_UniversidadPeruanaCayetanoHeredia_RuralOver40_Overall","200727_Atahualpa_UniversidadPeruanaCayetanoHeredia","http://dx.doi.org/10.1093/cid/ciaa1055","Journal article","Ecuador","El Oro","Atahualpa","","25-May-20","31-May-20","Household and community samples","Entire sample","673","45.00%","","","Yes","High","92.30%","","","","","http://dx.doi.org/10.1093/cid/ciaa1055",2020-05-25,"Other",NA,NA,92.3,FALSE,673,TRUE
"508","200916_Lajeado_UniversidadedoValedodoTaquari_Survey1","200916_Lajeado_UniversidadedoValedoTaquari_Study1","http://dx.doi.org/10.1016/j.ijid.2020.09.028","Journal article","Brazil","Rio Grande do Sul","","Lajeado","30-May-20","04-Jun-20","Household and community samples","Stratified probability","1450","4.03%","3.08%","5.18%","Yes","Moderate","96.70%","","","","","http://dx.doi.org/10.1016/j.ijid.2020.09.028",2020-05-30,"Other",3.08,5.18,96.7,TRUE,1450,TRUE
"525","201104_Austria_DanubePrivateUniversity_IgG_Overall","201104_Austria_DanubePrivateUniversity","https://www.medrxiv.org/content/10.1101/2020.11.03.20219121v1","Preprint","Austria","","WeiÃŸenkirchen","WeiÃŸenkirchen, St. Michael, WÃ¶sendorf, Joching","01-Jun-20","15-Jun-20","Household and community samples","Entire sample","835","8.50%","","","No","High","47.00%","","","","","https://www.medrxiv.org/content/10.1101/2020.11.03.20219121v1",2020-06-01,"Europe",NA,NA,47,FALSE,835,TRUE
"536","201129_Connecticut_YaleSchoolOfMedicine_Overall_Adjusted","201129_Connecticut_YaleSchoolOfMedicine","http://dx.doi.org/10.1016/j.amjmed.2020.09.024","Journal article","United States of America","Connecticut","","","04-Jun-20","23-Jun-20","Household and community samples","Simplified probability","567","4.00%","2.00%","6.00%","Yes","Moderate","77.10%","","","","","http://dx.doi.org/10.1016/j.amjmed.2020.09.024",2020-06-04,"US",2,6,77.1,TRUE,567,TRUE
"559","200726_UtsunomiyaCity_TokyoMedicalandDentalUniversity_genpop_popadj","200726_UtsunomiyaCity_TokyoMedicalandDentalUniversity","https://www.medrxiv.org/content/10.1101/2020.07.20.20155945v1","Preprint","Japan","KantÅ<8d> region","Tochigi","Utsunomiya City","14-Jun-20","05-Jul-20","Household and community samples","Simplified probability","742","1.23%","0.17%","1.23%","No","Moderate","32.40%","","","","","https://www.medrxiv.org/content/10.1101/2020.07.20.20155945v1",2020-06-14,"Other",0.17,1.23,32.4,TRUE,742,TRUE
"575","200902_Palestine_ArabAmericanUniversityRandomPop","200902_Palestine_ArabAmericanUniversity","https://www.medrxiv.org/content/10.1101/2020.08.28.20180083v3","Preprint","occupied Palestinian territory, including east Jerusalem","West Bank","","","15-Jun-20","30-Jun-20","Household and community samples","Stratified probability","1355","0.00%","0.00%","0.00%","Yes","High","97.10%","","","","","https://www.medrxiv.org/content/10.1101/2020.08.28.20180083v3",2020-06-15,"Other",0,0,97.1,TRUE,1355,TRUE
"579","201222_Zurich_UniversityofZurich_OverallAdj","201222_Zurich_UniversityofZurich","https://www.medrxiv.org/content/10.1101/2020.12.19.20248513v1","Preprint","Switzerland","Canton of Zurich","","Zurich","16-Jun-20","19-Nov-20","Household and community samples","Stratified probability","2507","7.80%","6.20%","9.50%","No","Low","24.40%","","","","","https://www.medrxiv.org/content/10.1101/2020.12.19.20248513v1",2020-06-16,"Europe",6.2,9.5,24.4,TRUE,2507,TRUE
"580","200811_Stockholm_UppsalaUniversity_DjurgaÌŠrdsstaden_TotalAbpositive","200811_Stockholm_UppsalaUniversity_1_djurg","https://dx.doi.org/10.1080/20008686.2020.1806505","Journal article","Sweden","SÃ¶dermanland, Uppland","","Stockholm","17-Jun-20","18-Jun-20","Household and community samples","Simplified probability","123","4.10%","0.60%","7.60%","Unclear","High","","Emailed","ake.lundkvist@imbim.uu.se <ake.lundkvist@imbim.uu.se>;","","","https://dx.doi.org/10.1080/20008686.2020.1806505",2020-06-17,"Europe",0.6,7.6,NA,TRUE,123,FALSE
"586","200821_England_ImperialCollegeLondon_Overall_PopAdj","200821_England_ImperialCollegeLondon","https://www.medrxiv.org/content/10.1101/2020.08.12.20173690v2","Preprint","The United Kingdom","England","","","20-Jun-20","13-Jul-20","Household and community samples","Stratified probability","99908","6.00%","5.80%","6.10%","Yes","Low","83.30%","","","","","https://www.medrxiv.org/content/10.1101/2020.08.12.20173690v2",2020-06-20,"Europe",5.8,6.1,83.3,TRUE,99908,TRUE
"589","200812_Brazil_UniversidadeFederaldePelotas_Overall","200812_Brazil_UniversidadeFederaldePelotas_Round3","https://www.medrxiv.org/content/10.1101/2020.08.10.20171942v1","Preprint","Brazil","","","","21-Jun-20","24-Jun-20","Household and community samples","Stratified probability","31869","2.70%","","","Yes","Moderate","95.90%","","","","","https://www.medrxiv.org/content/10.1101/2020.08.10.20171942v1",2020-06-21,"Other",NA,NA,95.9,TRUE,31869,TRUE
"597","201118_Chicago_NorthwesternUniversity_Overall","201118_Chicago_NorthwesternUniversity","https://www.medrxiv.org/content/10.1101/2020.11.17.20233452v1","Preprint","United States of America","Illinois","Cook County","Chicago","24-Jun-20","06-Sep-20","Household and community samples","Convenience","1545","19.80%","","","Unclear","High","85%","Emailed","alexis.demonbreun@northwestern.edu; elizabeth.mcnally@northwestern.edu","","","https://www.medrxiv.org/content/10.1101/2020.11.17.20233452v1",2020-06-24,"US",NA,NA,85,FALSE,1545,FALSE
"601","200805_Niger_IbrahimBadamasiBabangidaUniversity_IgG_GenPop_UnAdj","200805_Niger_IbrahimBadamasiBabangidaUniversity","https://www.medrxiv.org/content/10.1101/2020.08.04.20168112v1.full.pdf","Preprint","Nigeria","Niger State","","","26-Jun-20","30-Jun-20","Household and community samples","Stratified probability","185","25.41%","","","Unclear","Moderate","","Email was undeliverable","husssainimajiya@ibbul.edu.ng","","","https://www.medrxiv.org/content/10.1101/2020.08.04.20168112v1.full.pdf",2020-06-26,"Other",NA,NA,NA,TRUE,185,FALSE
"602","200922_Delhi_NationalCenterforDiseaseControlIndia_Survey1_PopAdj","200922_Delhi_NationalCentreforDiseaseControlIndia_Survey1","https://www.researchsquare.com/article/rs-80259/v1","Preprint","India","Delhi","","New Delhi","26-Jun-20","10-Jul-20","Household and community samples","Unclear","21387","23.48%","22.96%","24.01%","Unclear","Unclear","N/a","Emailed","drsdeynew@gmail.com","did not conduct study,studied the results of two studies conducted by the Government of the National Capital Territory of Delhi on the same population","","https://www.researchsquare.com/article/rs-80259/v1",2020-06-26,"Other",22.96,24.01,NA,NA,21387,FALSE
"607","201113_Mumbai_TataInstituteforFundamentalResearch_nonslums_adj","201113_Mumbai_TataInstituteforFundamentalResearch_NonSlums","http://dx.doi.org/10.1016/S2214-109X%2820%2930467-8","Journal article","India","","","Mumbai","29-Jun-20","19-Jul-20","Household and community samples","Stratified probability","2702","17.10%","15.80%","18.40%","Unclear","Low","","Emailed","ullas@tifr.res.in","","","http://dx.doi.org/10.1016/S2214-109X%2820%2930467-8",2020-06-29,"Other",15.8,18.4,NA,TRUE,2702,FALSE
"621","201222_Wisconsin_UniversityofWisconsin_WaveI_overall_popadj","201222_Wisconsin_UniversityofWisconsin_WaveI","https://doi.org/10.1101/2020.12.18.20248479","Preprint","United States of America","Wisconsin","","","01-Jul-20","31-Aug-20","Household and community samples","Stratified probability","996","1.60%","0.60%","2.50%","No","Moderate","40.00%","","","","","https://doi.org/10.1101/2020.12.18.20248479",2020-07-01,"US",0.6,2.5,40,TRUE,996,TRUE
"630","201012_OrangeCounty_UniversityofCaliforniaIrvine_OverallPopAdj","201012_OrangeCounty_UniversityofCaliforniaIrvine","https://www.medrxiv.org/content/10.1101/2020.10.07.20208660v1","Preprint","United States of America","California","Orange County","","10-Jul-20","16-Aug-20","Household and community samples","Stratified probability","2979","11.50%","10.50%","12.40%","Unclear","Low","","Emailed","tim.bruckner@uci.edu ","","","https://www.medrxiv.org/content/10.1101/2020.10.07.20208660v1",2020-07-10,"US",10.5,12.4,NA,TRUE,2979,FALSE
"639","201023_BatonRouge_OchsnerClinicFoundation_Overall_Popadj","201023_BatonRouge_LouisianaStateUniversity","https://dx.doi.org/10.3201/eid2701.203808","Journal article","United States of America","Louisiana","East Baton Rouge","Baton Rouge","15-Jul-20","31-Jul-20","Household and community samples","Stratified probability","2138","3.60%","2.80%","4.40%","Yes","Moderate","92.60%","","","","","https://dx.doi.org/10.3201/eid2701.203808",2020-07-15,"US",2.8,4.4,92.6,TRUE,2138,TRUE
"640","201130_PuneCity_IndianInstituteOfScienceEducationAndResearch_OverallAdj","201130_PuneCity_IndianInstituteOfScienceEducationAndResearch","https://www.medrxiv.org/content/10.1101/2020.11.17.20228155v2.full-text","Preprint","India","Maharashtra","","Pune","20-Jul-20","05-Aug-20","Household and community samples","Stratified probability","1659","51.30%","39.90%","62.40%","Yes","Low","79.50%","","","","","https://www.medrxiv.org/content/10.1101/2020.11.17.20228155v2.full-text",2020-07-20,"Other",39.9,62.4,79.5,TRUE,1659,TRUE
"645","200901_Maranhao_FederalUniversityOfMaranhao_Overall_Popadj","200901_Maranhao_FederalUniversityOfMaranhao","https://www.medrxiv.org/content/10.1101/2020.08.28.20180463v1","Preprint","Brazil","Maranhao","","","27-Jul-20","08-Aug-20","Household and community samples","Stratified probability","3156","40.40%","35.60%","45.30%","Yes","Moderate","80.60%","","","","","https://www.medrxiv.org/content/10.1101/2020.08.28.20180463v1",2020-07-27,"Other",35.6,45.3,80.6,TRUE,3156,TRUE
"652","201013_Odisha_ICMR-RMRC_genpop","201013_Odisha_ICMR-RMRC_genpop","https://www.medrxiv.org/node/100529.external-links.html","Preprint","India","Odisha",NA,"Bhubaneswar, Berhampur or Rourkela","01-Aug-20","31-Aug-20","Household and community samples","Stratified probability","4146","20.78%","19.56%","22.05%","No","High","17.40%","","","","","https://www.medrxiv.org/node/100529.external-links.html",2020-08-01,"Other",19.56,22.05,17.4,TRUE,4146,TRUE
"654","201112_Monteria_UniversidaddeCÃ³rdoba_GenPopAdj","201112_Monteria_UniversidaddeCÃ³rdoba","https://dx.doi.org/10.1093/ofid/ofaa550","Journal article","Colombia","Caribbean Region","CÃ³rdoba","Monteria","04-Aug-20","01-Sep-20","Household and community samples","Stratified probability","1368","55.30%","52.50%","57.80%","Unclear","Moderate","N/a","Emailed","smattar@correo.unicordoba.edu.co <smattar@correo.unicordoba.edu.co>;","Did not want to provide clarification","","https://dx.doi.org/10.1093/ofid/ofaa550",2020-08-04,"Other",52.5,57.8,NA,TRUE,1368,FALSE
"658","201203_Edmonton_UniversityofAlberta_Children","201203_Edmonton_UniversityofAlberta","https://poseidon01.ssrn.com/delivery.php?ID=579098091025087124113094013092119126025046084059055038121105001063029013061117127066089088099029120125126127122027092067006090071077064116068026070083111035094021057114045098065076072116064007032059100097072054064094007027094015098095104082088098074069111094090004070124099079094007105068078&EXT=pdf&INDEX=TRUE","Preprint","Canada","Alberta","","Edmonton","14-Aug-20","23-Oct-20","Household and community samples","Convenience","565","1.60%","","","Unclear","High","","Emailed","mandhane@ualberta.ca <mandhane@ualberta.ca>;","","","https://poseidon01.ssrn.com/delivery.php?ID=579098091025087124113094013092119126025046084059055038121105001063029013061117127066089088099029120125126127122027092067006090071077064116068026070083111035094021057114045098065076072116064007032059100097072054064094007027094015098095104082088098074069111094090004070124099079094007105068078&EXT=pdf&INDEX=TRUE",2020-08-14,"Other",NA,NA,NA,FALSE,565,FALSE
"668","201211_Karnatka_IndianInstituteofPublicHealth_primary_adj","201211_Karnataka_IndianInstituteofPublicHealth","https://www.medrxiv.org/content/10.1101/2020.12.04.20243949v1.full","Preprint","India","Karnatka","","","03-Sep-20","16-Sep-20","Household and community samples","Stratified non-probability","15624","16.40%","15.10%","17.70%","Unclear","Moderate","","Emailed","epigiridhar@gmail.com <epigiridhar@gmail.com>;","","","https://www.medrxiv.org/content/10.1101/2020.12.04.20243949v1.full",2020-09-03,"Other",15.1,17.7,NA,FALSE,15624,FALSE
"671","201130_DrDYPatilMedicalCollege_Pimpri-Chinchwad_DashboardPrimary","201130_DrDYPatilMedicalCollege_Pimpri-Chinchwad","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3729394","Preprint","India","Maharashtra","","Pune ","07-Oct-20","17-Oct-21","Household and community samples","Stratified probability","5000","34.04%","31.30%","36.80%","No","Moderate","Complex","","","Page 5","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3729394",2020-10-07,"Other",31.3,36.8,NA,TRUE,5000,TRUE
"685","210109_GiglioIsland_UniversitÃ degliStudidiMilano","210109_GiglioIsland_UniversitÃ degliStudidiMilano","https://www.medrxiv.org/content/10.1101/2021.01.08.20248948v1","Preprint","Italy","Tuscany","Grosseto","Giglio Island","29-Apr-20","03-May-20","Household and community samples","Self-referral","723","0.41%","","","Yes","High","84.80%","","","","","https://www.medrxiv.org/content/10.1101/2021.01.08.20248948v1",2020-04-29,"Europe",NA,NA,84.8,FALSE,723,TRUE
"687","200918_Zurich_UniversityofZurich_AdultSampleOverall","200918_Zurich_University of Zurich_Adults","https://www.medrxiv.org/content/10.1101/2020.09.18.20191254v1","Preprint","Switzerland","Canton of Zurich","","Zurich","16-Jun-20","09-Jul-20","Household and community samples","Simplified probability","577","3.30%","1.40%","5.50%","Unclear","Moderate","29.00%","Emailed","susi.kriemlerwiget@uzh.ch <susi.kriemlerwiget@uzh.ch>;","","","https://www.medrxiv.org/content/10.1101/2020.09.18.20191254v1",2020-06-16,"Europe",1.4,5.5,29,TRUE,577,FALSE
"688","201027_England_ImperialCollegeLondon_SamplingPeriod1_TotalAdj","201027_England_ImperialCollegeLondon_SamplingPeriod1","10.1101/2020.10.26.20219725","Preprint","The United Kingdom","","","","20-Jun-20","13-Jul-20","Household and community samples","Simplified probability","99908","5.96%","5.78%","6.14%","Unclear","Moderate","","Emailed","roy.anderson@imperial.ac.uk","","","10.1101/2020.10.26.20219725",2020-06-20,"Europe",5.78,6.14,NA,TRUE,99908,FALSE
